university_name,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences
Cukurova University,,,21.5,,,13.85,,15.2,14.15,,
Curtin University,30.6,35.45,40.2,35.15,49.7,46.75,32.3,47.15,50.75,38.45,38.75
Cyprus University of Technology,,,,25.95,,22.65,,,25.25,,
Czech Technical University in Prague,,,21.5,30.7,,22.65,,15.2,25.25,,
Czech University of Life Sciences Prague (CULS),,17.200000000000003,,,,13.85,,15.2,,,
Dalhousie University,23.85,27.05,40.2,35.15,,36.7,,47.15,45.2,46.55,27.75
Dalian University of Technology,,35.45,,35.15,,36.7,,26.4,25.25,,23.2
Dartmouth College,33.25,64.0,50.7,47.900000000000006,,46.75,,54.45,45.2,46.55,50.45
De La Salle University,,,,,,28.8,,,36.35,,23.2
De Montfort University,15.85,31.6,,41.5,,36.7,,,,,23.2
Deakin University,23.85,38.85,37.6,38.7,58.9,45.1,21.6,43.7,,31.25,32.3
Del Rosario University,,,21.5,,,,,,,,15.3
Delft University of Technology,,,,69.3,47.85,83.5,,52.150000000000006,68.9,,57.2
Delhi Technological University,,,,17.299999999999997,,13.85,,,14.15,,
Democritus University of Thrace,,,21.5,,,22.65,,15.2,,,23.2
Diego Portales University,,,,,,,,,,21.25,27.75
Dokuz Eylül University,,,21.5,,17.950000000000003,13.85,,15.2,14.15,,15.3
Doshisha University,,,,,,13.85,,,,,
Drexel University,15.85,35.45,27.55,25.95,36.75,46.75,,,48.25,38.45,41.75
Dublin City University,27.45,35.45,30.75,38.7,17.950000000000003,32.7,,32.650000000000006,32.05,,35.85
Duke University,67.2,87.0,74.0,64.9,,67.0,77.1,83.8,71.5,74.8,80.3
Durham University,67.9,38.85,,43.65,60.1,36.7,61.4,47.15,61.8,43.6,60.6
ETH Zurich,58.6,83.9,65.2,91.3,,89.5,,88.9,92.4,,77.1
East China Normal University,23.85,27.05,,25.95,49.6,42.75,,38.9,36.35,21.25,27.75
East China University of Science and Technology,,,,,,36.7,,32.650000000000006,32.05,,
Eastern Mediterranean University,,38.85,,,,28.8,,,25.25,,
Edge Hill University,,,21.5,,27.25,,,,,21.25,15.3
Edinburgh Napier University,,31.6,,,,,,,,,27.75
Edith Cowan University,,27.05,34.3,,27.25,46.75,,,,31.25,27.75
Ege University,,,21.5,,,13.85,,15.2,14.15,,
Ehime University,,,21.5,,,13.85,,15.2,14.15,,
Eindhoven University of Technology,30.6,,,61.5,,60.0,,,52.6,,
Embry-Riddle Aeronautical University,,,,,,13.85,,,41.25,,
Emory University,38.6,43.3,67.8,,,,37.0,58.7,52.6,52.9,47.150000000000006
Erasmus University Rotterdam,35.599999999999994,71.5,63.2,,,,53.4,,,,59.0
Erciyes University,,,21.5,,,22.65,,15.2,25.25,,
Ewha Womans University,15.85,17.200000000000003,30.75,25.95,32.599999999999994,36.7,,,41.25,,23.2
Eötvös Loránd University,23.85,,,17.299999999999997,,,,38.9,36.35,35.35,23.2
Far Eastern Federal University,,,,,,13.85,,15.2,25.25,,
Fayoum University,,,,,,,,,25.25,,
Federal Rural University of the Semi-Arid Region,,,,,,,,15.2,,,
Federal University of ABC (UFABC),,,,,,13.85,,15.2,25.25,,
Federal University of Alagoas,,,21.5,,,,,15.2,14.15,,
Federal University of Bahia,,,21.5,17.299999999999997,,13.85,,15.2,14.15,21.25,15.3
Federal University of Ceará (UFC),,,21.5,17.299999999999997,,22.65,,15.2,14.15,,15.3
Federal University of Espírito Santo,,,21.5,25.95,17.950000000000003,13.85,,15.2,14.15,21.25,15.3
Federal University of Goiás,,,21.5,,,13.85,,15.2,14.15,,15.3
Federal University of Health Sciences of Porto Alegre (UFCSPA),,,21.5,,,,,,,,
Federal University of Itajubá,,,,,,13.85,,,14.15,,
Federal University of Lavras,,,,,,22.65,,15.2,14.15,,
Federal University of Mato Grosso do Sul,,,21.5,,,,,15.2,14.15,,
Federal University of Minas Gerais,23.85,17.200000000000003,30.75,35.15,27.25,22.65,,26.4,25.25,21.25,15.3
Federal University of Ouro Preto,,,21.5,,,13.85,,15.2,14.15,,
Federal University of Paraná (UFPR),,17.200000000000003,21.5,17.299999999999997,17.950000000000003,13.85,,15.2,14.15,,15.3
Federal University of Pará,,,21.5,,,13.85,,15.2,14.15,21.25,15.3
Federal University of Pelotas,,,30.75,,,22.65,,15.2,14.15,,
Federal University of Pernambuco,,,21.5,17.299999999999997,17.950000000000003,13.85,,15.2,14.15,,15.3
Federal University of Rio Grande do Norte (UFRN),,,21.5,25.95,17.950000000000003,13.85,,15.2,14.15,21.25,15.3
Federal University of Rio Grande do Sul,15.85,17.200000000000003,34.3,30.7,17.950000000000003,22.65,,15.2,25.25,31.25,23.2
