location,QS2023 Academic Reputation,QS2023 Employer Reputation,QS2023 Faculty Student Ratio,QS2023 Citations per Faculty,QS2023 International Research Network,QS2023 Employment Outcomes,QS2023 Score,QS2022 Academic Reputation,QS2022 Employer Reputation,QS2022 Faculty Student Ratio,QS2022 Citations per Faculty,QS2022 Score,THE2020 Arts,THE2020 Business/Economics,THE2020 Medicine,THE2020 Computer Science,THE2020 Education,THE2020 Engineering,THE2020 Law,THE2020 Life Sciences,THE2020 Physical Sciences,THE2020 Psychology,THE2020 Social Sciences,ARWU2018 Academic Performance per Capita
Taiwan,18.72,25.508000000000003,28.676,17.28,23.576,22.064,36.940000000000005,18.408,21.324,29.491999999999997,19.124000000000002,36.06,34.6,24.845833333333335,38.769999999999996,28.13,48.82000000000001,27.188235294117646,,30.55,21.492857142857144,47.7,29.1875,22.35
Thailand,24.259999999999998,25.18,21.13,4.62,41.22,24.9,39.75,24.8,27.47,20.45,4.5600000000000005,40.0,,17.200000000000003,31.641666666666666,17.299999999999997,34.449999999999996,17.62142857142857,,21.785714285714285,15.735714285714286,,24.6375,
Tunisia,4.633333333333334,1.2,34.86666666666667,2.566666666666667,37.13333333333333,15.7,,4.533333333333333,1.3333333333333333,36.63333333333333,2.1666666666666665,,,,,,,,,,,,,
Turkey,11.814285714285713,17.185714285714283,10.861904761904762,7.928571428571429,38.50952380952381,19.133333333333333,24.9,11.004761904761905,13.423809523809522,11.595238095238095,8.352380952380953,,21.85,19.6625,25.2,29.5125,26.98,24.711111111111112,,15.2,23.061111111111114,34.85,26.75,18.2
Uganda,9.4,6.6,3.7,4.6,53.1,94.9,,9.4,8.3,3.9,4.9,,,,37.6,,17.950000000000003,,,15.2,,,23.2,
Ukraine,9.314285714285715,14.857142857142858,43.857142857142854,1.6857142857142857,18.571428571428573,19.814285714285713,,8.642857142857142,14.528571428571428,45.042857142857144,1.7428571428571427,,,17.200000000000003,,28.0,,16.783333333333335,,15.2,17.849999999999998,,,
United Arab Emirates,14.02,20.28,28.46,10.99,32.81,40.089999999999996,36.96666666666667,12.239999999999998,14.87,29.610000000000003,11.379999999999999,36.833333333333336,,33.525000000000006,43.85,30.7,27.25,28.05,,32.650000000000006,23.816666666666663,,23.2,
United Kingdom,27.297777777777778,30.366666666666667,25.52111111111111,34.11,68.46333333333334,24.40111111111111,52.04130434782609,27.77444444444444,31.7,28.32111111111111,35.82888888888889,51.91428571428572,35.00686274509804,38.28916666666667,39.53469387755102,41.814772727272725,39.620652173913044,42.985365853658536,44.89090909090909,49.15909090909091,49.96375,40.5377358490566,38.03828125,25.99285714285714
United States,27.95681818181818,25.455113636363638,34.78068181818182,39.246590909090905,65.45397727272727,39.35568181818182,51.71219512195122,28.522727272727273,26.38295454545454,36.16136363636363,41.82386363636363,51.056321839080454,34.45602409638554,45.53092105263158,46.99523809523809,49.57285714285714,47.948484848484846,49.9771875,46.2390243902439,52.371180555555554,51.65681818181818,48.36626506024096,45.71911764705882,25.201282051282053
Uruguay,15.525,17.725,58.650000000000006,1.325,13.25,56.0,25.299999999999997,13.975,18.775,58.45,1.275,25.15,,,,,,,,,,,,
Venezuela,16.72,32.519999999999996,11.940000000000001,1.4600000000000002,17.933333333333334,37.8,,15.280000000000001,34.4,11.5,1.48,,,,,,,,,,,,,
Vietnam,12.55,12.125,7.775,6.3500000000000005,62.8,26.25,,12.825,10.225,10.05,3.925,,,,,17.299999999999997,,36.7,,,,,,
