Country,ar score_QS2023,er score_QS2023,fsr score_QS2023,cpf score_QS2023,ifr score_QS2023,isr score_QS2023,irn score,ger score,score scaled_QS2023,ar score_QS2022,er score_QS2022,fsr score_QS2022,cpf score_QS2022,ifr score_QS2022,isr score_QS2022,score scaled_QS2022,ARTU Rank,arts_and_humanities,business_and_economics,clinical_preclinical_and_health,computer_science,education,engineering_and_technology,law,life_sciences,phyiscal_sciences,psychology,social_sciences,PCP,Alumni,Award,PUB,N&S,Hi Ci,Expenditure (constant US$ millions),Global University Employability Rank 2020
Italy,43.91538461538461,24.22307692307692,13.492307692307692,45.823076923076925,12.853846153846153,15.553846153846154,83.82307692307693,21.115384615384617,33.43846153846154,42.97692307692308,25.93846153846154,13.546153846153846,49.56923076923077,6.1692307692307695,15.815384615384614,33.64615384615385,275.5,27.45,27.05,34.3,35.15,36.75,36.7,32.3,38.9,41.25,31.25,27.75,21.886666666666667,4.266666666666667,3.373333333333333,38.6,7.273333333333331,10.413333333333332,15493.86388,169.0
Japan,54.39333333333333,60.120000000000005,77.44,30.273333333333333,16.253333333333334,19.966666666666665,61.0,33.26,51.36666666666667,51.38125,54.39375,80.86875,30.76875,5.35625,19.2875,49.76875,241.6428571428572,30.6,31.6,21.5,17.299999999999997,36.75,13.85,,15.2,14.15,31.25,32.3,19.84375,11.59375,9.46875,40.88125,15.8125,11.975,31428.36222,126.0
Kazakhstan,23.880000000000003,34.22,88.16,1.22,29.26,17.380000000000003,14.02,12.8,33.36,25.366666666666664,34.93333333333333,95.53333333333336,1.2,13.6,17.466666666666665,34.7,,,,,,,22.65,,,14.15,,,,,,,,,426.64463,
Lebanon,27.2,40.7,62.1,20.0,74.9,61.8,73.8,99.0,38.4,27.7,54.2,62.0,16.9,78.6,56.7,39.2,346.0,23.85,31.6,33.875,30.7,32.599999999999994,28.8,,26.4,25.25,,32.3,,,,,,,,152.0
Lithuania,20.0,27.5,79.8,3.1,10.4,9.1,74.3,52.4,28.4,20.7,21.2,80.3,3.8,3.6,9.3,28.0,,15.85,17.200000000000003,27.55,17.299999999999997,,18.25,,38.9,14.15,,15.3,,,,,,,413.40774,
Macau SAR,9.5,9.8,16.4,84.0,100.0,98.2,49.2,73.8,34.9,10.7,6.8,18.7,70.8,100.0,97.1,32.9,,,,,,,,,,,,,,,,,,,,
Malaysia,41.81111111111111,58.51111111111111,60.48888888888889,19.08888888888889,43.15555555555556,69.05555555555556,62.36666666666666,21.355555555555554,44.31111111111111,42.7,59.7875,63.4875,22.475,33.8875,60.1625,45.15,340.6,23.85,22.125,34.3,21.625,27.25,28.8,,20.8,25.25,38.45,25.475,19.1,0.0,0.0,35.75,1.4,15.05,3343.81241,208.5
Mexico,53.23333333333333,63.93333333333333,72.03333333333335,2.2,24.1,10.333333333333334,52.7,82.23333333333333,44.46666666666667,69.8,91.8,65.7,2.75,38.25,6.2,53.25,344.0,42.75,26.325000000000003,24.525,17.299999999999997,40.150000000000006,13.85,37.0,15.2,14.15,26.25,15.3,26.6,12.4,0.0,52.4,11.4,0.0,11753.63763,130.0
Netherlands,44.11538461538461,34.315384615384616,36.0923076923077,68.00769230769231,83.86153846153846,61.823076923076925,87.0,34.03076923076923,49.44615384615384,44.56923076923077,41.84615384615385,40.53846153846154,73.13076923076923,76.55384615384615,60.400000000000006,51.815384615384616,136.84615384615384,45.6,55.3,53.85,46.7,49.8,52.25,53.4,57.0,59.65,62.5,57.2,31.40909090909091,7.845454545454545,6.263636363636365,46.82727272727273,16.70909090909091,25.4,15235.59105,122.5
New Zealand,35.825,25.6125,19.9125,38.425,99.4,76.7,64.6375,54.6,37.575,37.3375,30.2375,20.575,37.15,99.55,77.5375,38.525,312.25,30.6,35.45,43.85,30.7,32.599999999999994,32.7,37.0,41.3,38.8,31.25,38.75,21.175,6.2,0.0,33.35,8.65,12.325,3176.11128,152.0
Norway,33.75,13.375,64.625,34.550000000000004,80.15,13.85,89.675,39.55,39.575,33.925,13.825,66.475,35.55,74.4,14.25,39.95,230.5,31.925,26.325000000000003,41.55,35.15,44.05,34.7,44.7,47.15,44.75,34.85,40.25,23.46666666666667,13.733333333333334,17.666666666666668,45.4,15.233333333333334,14.1,8348.33361,182.0
Oman,15.0,16.9,67.3,14.3,100.0,3.7,86.8,63.4,29.3,14.8,13.7,76.9,12.1,100.0,3.9,30.4,,,,21.5,,,22.65,,26.4,,,,,,,,,,,
Pakistan,16.8,53.05,39.8,52.7,3.4,4.15,57.35,15.6,31.1,16.6,43.7,40.1,53.7,1.3,3.3,30.15,,,31.6,29.15,35.15,,28.8,,15.2,25.25,,15.3,,,,,,,,
Peru,43.8,63.2,27.7,1.8,4.3,1.5,34.5,48.9,30.2,39.9,66.1,25.6,1.7,1.6,1.7,28.3,,,,30.75,,,22.65,,32.650000000000006,32.05,,23.2,,,,,,,1309.434,
Philippines,32.4,47.6,46.8,1.8,2.1,1.3,41.1,46.4,27.7,33.9,42.1,48.3,1.9,1.1,1.4,28.1,,,,45.5,17.299999999999997,,25.725,,15.2,25.25,,23.2,,,,,,,,
Poland,43.45,59.2,50.5,6.85,6.8,10.6,80.4,46.15,35.85,42.05,49.85,50.2,6.15,2.2,10.85,33.849999999999994,352.0,15.85,17.200000000000003,27.9,21.625,22.6,18.25,,15.2,25.25,21.25,15.3,18.65,12.7,0.0,35.25,8.45,4.8,6042.84411,
Portugal,35.5,19.65,16.15,45.8,13.325,39.425,91.675,40.95,31.35,33.65,21.975,17.45,39.825,4.2,42.775,29.6,340.5,23.85,27.05,29.15,30.7,37.975,32.7,26.95,32.650000000000006,32.05,31.25,27.75,20.8,0.0,2.0,38.875,7.85,7.199999999999999,1820.10746,
Qatar,24.4,33.2,61.1,36.9,100.0,94.8,90.1,1.1,42.6,21.6,24.4,70.3,28.1,100.0,94.6,40.7,328.0,,27.05,,41.5,27.25,45.1,,,36.35,,27.75,,,,,,,,146.0
Russia,22.529411764705884,22.15294117647059,92.2764705882353,6.170588235294118,18.01764705882353,64.13529411764705,56.694117647058825,28.68235294117647,35.205882352941174,21.96470588235294,20.80588235294117,91.98235294117649,6.2176470588235295,7.917647058823529,64.55882352941177,34.27058823529412,308.3333333333333,,,,,,,,,,,,,,,,,,,139.0
Saudi Arabia,27.18,24.58,71.44,26.94,99.04,25.58,68.34,33.8,39.42,29.225,28.7,69.025,35.925,98.95,27.475,42.05,203.66666666666663,,38.85,34.3,43.3,32.599999999999994,36.7,,38.9,36.35,38.45,35.525,19.25,0.0,0.0,37.55,8.1,34.85,,198.0
Singapore,94.95,85.1,81.5,92.95,100.0,73.8,89.75,92.1,90.55,95.35,91.05,88.15,93.05,100.0,69.94999999999999,92.35,33.5,53.125,72.1,60.85,85.6,67.2,87.9,72.3,73.44999999999999,78.44999999999999,56.225,68.5,34.5,0.0,0.0,58.650000000000006,20.8,33.05,3157.95579,19.0
South Africa,27.1,36.7,17.975,36.150000000000006,64.675,26.675,90.4,68.675,30.05,27.0,29.5,19.15,39.05,56.95,26.7,29.675,266.0,23.85,22.125,40.2,25.95,27.25,30.75,26.95,35.775000000000006,34.2,31.25,27.75,19.5,9.15,0.0,36.675,8.175,8.175,3433.78918,222.0
South Korea,37.7235294117647,47.04117647058824,78.96470588235294,38.1764705882353,17.84705882352941,26.45294117647059,43.13529411764706,32.32941176470588,45.65882352941177,38.64375,46.2,78.8,42.53125,8.35625,24.58125,46.19375,206.8181818181818,29.025,43.3,27.55,28.325,47.85,28.8,,32.650000000000006,25.25,38.275000000000006,34.075,,,,,,,,88.0
Spain,40.96666666666667,37.7,33.958333333333336,27.641666666666666,25.28333333333333,32.25833333333333,78.99166666666666,33.74166666666667,35.541666666666664,40.425,39.575,36.94166666666667,26.86666666666667,16.900000000000002,33.858333333333334,35.583333333333336,269.875,15.85,27.05,27.55,30.7,27.25,28.8,21.6,32.650000000000006,32.05,21.25,23.2,19.94,1.9,0.0,40.17999999999999,10.61,10.64,12617.91074,149.0
Sweden,42.225,34.0125,53.7625,51.4625,82.1875,61.525,91.5375,45.475,48.7625,43.175,37.425,54.95,55.45,75.2375,53.4625,49.75,183.25,42.75,38.85,45.5,42.575,32.599999999999994,45.925,37.0,60.9,50.75,35.35,41.75,27.18,8.77,11.04,42.79,16.259999999999998,13.79,9371.22195,116.0
Switzerland,47.625,38.25,68.825,78.0125,99.9875,79.4125,84.4625,53.625,61.525,43.93333333333333,43.05555555555556,64.63333333333333,74.97777777777777,99.97777777777776,80.46666666666667,59.08888888888888,138.33333333333334,37.1,51.875,47.8,47.900000000000006,46.400000000000006,87.25,42.2,59.1,57.8,43.6,44.25,34.35,14.0,14.975,42.2875,27.6,25.4375,9350.37791,90.0
Taiwan,33.89,46.93,50.7,31.420000000000005,19.59,22.14,37.04,30.71,36.940000000000005,33.160000000000004,40.0,51.760000000000005,33.9,7.409999999999999,22.7,36.06,,34.6,17.200000000000003,34.3,25.95,46.075,22.65,,26.4,14.15,47.7,27.75,,,,,,,,87.0
Thailand,52.8,53.25,56.95,5.7,7.65,3.6,67.15,50.95,39.75,54.85,56.7,53.650000000000006,5.9,2.45,4.2,40.0,358.0,,17.200000000000003,27.55,17.299999999999997,41.1,18.25,,15.2,14.15,,25.475,,,,,,,,249.0
Turkey,20.4,36.3,31.2,23.4,30.3,10.6,42.6,24.0,24.9,,,,,,,,,23.85,17.200000000000003,21.5,30.7,17.950000000000003,13.85,,15.2,14.15,34.85,19.25,18.2,18.3,0.0,34.7,3.0,0.0,11251.72921,217.5
United Arab Emirates,20.53333333333333,29.2,59.1,26.9,100.0,69.3,57.93333333333333,60.633333333333326,36.96666666666667,19.266666666666666,21.8,62.4,30.0,100.0,66.60000000000001,36.833333333333336,,,33.525000000000006,43.85,30.7,27.25,30.75,,32.650000000000006,28.65,,23.2,,,,,,,,173.0
United Kingdom,46.65652173913043,51.29347826086956,40.52173913043478,54.04130434782609,93.25,88.18260869565218,84.79347826086956,38.28913043478261,52.04130434782609,45.21224489795919,50.3530612244898,42.932653061224485,54.8,92.1591836734694,88.40408163265306,51.91428571428572,177.6590909090909,30.6,38.85,37.6,40.1,36.75,40.0,43.8,52.150000000000006,48.25,38.45,35.85,26.27692307692308,11.166666666666666,12.082051282051282,41.81794871794872,18.325641025641023,20.33846153846154,40866.74568,89.0
United States,50.97283950617284,43.78271604938272,53.92345679012346,58.52716049382716,46.449382716049385,40.7358024691358,83.10246913580247,59.01728395061728,51.87160493827161,49.18588235294118,43.28705882352941,52.70941176470589,61.15529411764706,35.781176470588235,42.76705882352941,50.92117647058824,149.97619047619048,27.45,38.85,37.6,41.5,39.2,42.75,42.25,47.15,45.2,41.2,35.85,25.125179856115107,11.972661870503597,13.310071942446042,42.89352517985611,21.69640287769784,22.242446043165465,255126.81447,135.0
Uruguay,14.15,18.05,81.05000000000001,1.15,23.3,2.75,2.0,78.8,25.3,13.0,19.1,85.2,1.15,10.25,2.9,25.15,,,,,,,,,,,,,,,,,,,696.43801,
